Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSG00000149403	344.11341732929765	-0.5232219279926886	0.17374125947843067	5.025243977804055e-4	0.001998818018725622	TRUE
ENSG00000198221	77.168927442815	-0.5234870475292566	0.12200820488338622	3.5133629005609677e-6	2.1112221639362503e-5	TRUE
ENSG00000272163	590.819488394825	-0.5236232559028771	0.07473066280541385	5.75676048263625e-13	1.0208416880699684e-11	TRUE
ENSG00000175077	28.409721209651075	-0.5240362849521385	0.11032095238887264	3.893062551876326e-7	2.7398587310452533e-6	TRUE
ENSG00000166959	1.4543831550770523	-0.524880867381019	0.293073743125628	0.008217346202650947	0.024718416141081258	TRUE
ENSG00000167771	456.75697642197474	-0.5249833301568346	0.08847440364033342	6.324165805931198e-10	6.9922306533305565e-9	TRUE
ENSG00000231948	1.6807132732341017	-0.5253390669649757	0.24289190476333972	0.00391147734945839	0.012799975865299712	TRUE
ENSG00000101049	6.392025666204013	-0.525688938978064	0.17464260609300333	4.093641765176232e-4	0.001661708138328646	TRUE
ENSG00000232596	0.8848072794848848	-0.5259502579652181	0.36202417292806766	0.014101047348837936	0.03996100271626677	TRUE
ENSG00000165084	70.97016106511617	-0.5261192397417208	0.09478542412619136	5.684967315496932e-9	5.382285746930496e-8	TRUE
ENSG00000223734	0.9672757575901496	-0.5261262994505906	0.3229982803526748	0.010578224240415064	0.030975210468087183	TRUE
ENSG00000164509	1.8446039350261068	-0.5263972960512319	0.22766601824082283	0.0027969180636890803	0.009482360423075724	TRUE
ENSG00000133475	4.414448899163542	-0.5265195203882368	0.17273799918584734	3.6316144871838556e-4	0.0014920744203420076	TRUE
ENSG00000115738	51.407176013901065	-0.5265388382142139	0.06737591141552851	1.0861548619644463e-15	2.844928560466508e-14	TRUE
ENSG00000178965	4.84092496436691	-0.5267572754267694	0.21712137164125608	0.002115854026593304	0.007373778545139691	TRUE
ENSG00000277218	0.8914319778517918	-0.5269489275376074	0.3663598314684799	0.01374073189861114	0.039047567588455345	TRUE
ENSG00000162591	28.858011669270592	-0.5270294494858548	0.16499179071401887	2.4226360591614877e-4	0.0010340470687733294	TRUE
ENSG00000226009	7.0467154804528835	-0.5284730152988163	0.11939947158879848	1.6079101352973938e-6	1.0218958923192316e-5	TRUE
ENSG00000254995	214.16539572786922	-0.528580065714686	0.09522003391346119	5.993093205069371e-9	5.655252658988523e-8	TRUE
ENSG00000204889	1.4817910487550898	-0.5290111304865543	0.24751856796328192	0.004069604931960406	0.01326646866822264	TRUE
ENSG00000145192	3.6569813816790386	-0.5291440814336094	0.1626153204277821	1.691252759779138e-4	7.420891335813687e-4	TRUE
ENSG00000254087	6.671861774140334	-0.5292841623157616	0.202598657311856	0.0012772847248926308	0.004665221180684598	TRUE
ENSG00000181322	25.747328024547503	-0.5297525130220045	0.08931021966036624	5.582413440950613e-10	6.231108312998523e-9	TRUE
